edition_a,section_a,edition_b,section_b,relation,method
1997-online-draft,4.3,1.0-errata-2014,4.3,changed,section-number
1997-online-draft,4.4,1.0-errata-2014,4.4,changed,section-number
1997-online-draft,4.5,1.0-errata-2014,4.5,changed,section-number
1997-online-draft,4.6,1.0-errata-2014,4.6,changed,section-number
1997-online-draft,4.7,1.0-errata-2014,4.7,changed,section-number
1997-online-draft,4.8,1.0-errata-2014,4.8,changed,section-number
1997-online-draft,4.9,1.0-errata-2014,4.9,changed,section-number
1997-online-draft,5.1,1.0-errata-2014,5.1,changed,section-number
1997-online-draft,5.10,1.0-errata-2014,5.10,changed,section-number
1997-online-draft,5.11,1.0-errata-2014,5.11,changed,section-number
1997-online-draft,5.12,1.0-errata-2014,5.12,changed,section-number
1997-online-draft,5.13,1.0-errata-2014,5.13,changed,section-number
1997-online-draft,5.14,1.0-errata-2014,5.14,changed,section-number
1997-online-draft,5.15,1.0-errata-2014,5.15,changed,section-number
1997-online-draft,5.16,1.0-errata-2014,5.16,changed,section-number
1997-online-draft,5.2,1.0-errata-2014,5.2,changed,section-number
1997-online-draft,5.3,1.0-errata-2014,5.3,changed,section-number
1997-online-draft,5.4,1.0-errata-2014,5.4,changed,section-number
1997-online-draft,5.5,1.0-errata-2014,5.5,changed,section-number
1997-online-draft,5.6,1.0-errata-2014,5.6,changed,section-number
1997-online-draft,5.7,1.0-errata-2014,5.7,changed,section-number
1997-online-draft,5.8,1.0-errata-2014,5.8,changed,section-number
1997-online-draft,5.9,1.0-errata-2014,5.9,changed,section-number
1997-online-draft,6.1,1.0-errata-2014,6.1,changed,section-number
1997-online-draft,6.10,1.0-errata-2014,6.10,changed,section-number
1997-online-draft,6.11,1.0-errata-2014,6.11,changed,section-number
1997-online-draft,6.12,1.0-errata-2014,6.12,changed,section-number
1997-online-draft,6.13,1.0-errata-2014,6.13,changed,section-number
1997-online-draft,6.14,1.0-errata-2014,6.14,changed,section-number
1997-online-draft,6.15,1.0-errata-2014,6.15,changed,section-number
1997-online-draft,6.2,1.0-errata-2014,6.2,changed,section-number
1997-online-draft,6.3,1.0-errata-2014,6.3,changed,section-number
1997-online-draft,6.4,1.0-errata-2014,6.4,changed,section-number
1997-online-draft,6.5,1.0-errata-2014,6.5,changed,section-number
1997-online-draft,6.6,1.0-errata-2014,6.6,changed,section-number
1997-online-draft,6.7,1.0-errata-2014,6.7,changed,section-number
1997-online-draft,6.8,1.0-errata-2014,6.8,changed,section-number
1997-online-draft,6.9,1.0-errata-2014,6.9,changed,section-number
1997-online-draft,7.1,1.0-errata-2014,7.1,changed,section-number
1997-online-draft,7.10,1.0-errata-2014,7.10,changed,section-number
1997-online-draft,7.11,1.0-errata-2014,7.11,changed,section-number
1997-online-draft,7.12,1.0-errata-2014,7.12,changed,section-number
1997-online-draft,7.13,1.0-errata-2014,7.13,changed,section-number
1997-online-draft,7.14,1.0-errata-2014,7.14,changed,section-number
1997-online-draft,7.15,1.0-errata-2014,7.15,changed,section-number
1997-online-draft,7.16,1.0-errata-2014,7.16,changed,section-number
1997-online-draft,7.17,1.0-errata-2014,7.17,changed,section-number
1997-online-draft,7.18,1.0-errata-2014,7.18,changed,section-number
1997-online-draft,7.2,1.0-errata-2014,7.2,changed,section-number
1997-online-draft,7.3,1.0-errata-2014,7.3,changed,section-number
1997-online-draft,7.4,1.0-errata-2014,7.4,changed,section-number
1997-online-draft,7.5,1.0-errata-2014,7.5,changed,section-number
1997-online-draft,7.6,1.0-errata-2014,7.6,changed,section-number
1997-online-draft,7.7,1.0-errata-2014,7.7,changed,section-number
1997-online-draft,7.8,1.0-errata-2014,7.8,changed,section-number
1997-online-draft,7.9,1.0-errata-2014,7.9,changed,section-number
1997-online-draft,8.1,1.0-errata-2014,8.1,changed,section-number
1997-online-draft,8.10,1.0-errata-2014,8.10,changed,section-number
1997-online-draft,8.11,1.0-errata-2014,8.11,changed,section-number
1997-online-draft,8.2,1.0-errata-2014,8.2,changed,section-number
1997-online-draft,8.3,1.0-errata-2014,8.3,changed,section-number
1997-online-draft,8.4,1.0-errata-2014,8.4,changed,section-number
1997-online-draft,8.5,1.0-errata-2014,8.5,changed,section-number
1997-online-draft,8.6,1.0-errata-2014,8.6,changed,section-number
1997-online-draft,8.7,1.0-errata-2014,8.7,changed,section-number
1997-online-draft,8.8,1.0-errata-2014,8.8,changed,section-number
1997-online-draft,8.9,1.0-errata-2014,8.9,changed,section-number
1997-online-draft,9.1,1.0-errata-2014,9.1,changed,section-number
