{bacfendi} beyond+divide {batfendi} bite+divide
{kackla} count+come {karcykla} car+come

{kacli'u} count+travel {karcyli'u} car+travel

{kacmu'u} count+move {karcymu'u} car+move

{kacplu} count+island {karcylu'a} car+route

{kakpybra} dig+big {kakpyca'a} dig+apparatus

{kalfoi} eye+field {canonical} form=kalfoi

{kamcectamne} quality-of+and-(set)+cousin {kamnyceltamne} committee+launcher+cousin

{kamdraci} quality-of+drama {kamnydraci} committee+drama

{kamfau} quality-of+event {kamnyfau} committee+event

{kamfrica} quality-of+differ {kamnyfrica} committee+differ

{kamgei} quality-of+happy {kamnygei} committee+happy

{kamji'e} quality-of+live {kamnyji'e} committee+live

{kamjikca} quality-of+socialize {kamnyjikca} committee+socialize

{kamka'o} quality-of+healthy {kamnyka'o} committee+healthy

{kamnei} quality-of+fond {kamnynei} committee+fond

{kamnunpe'i} quality-of+event-of+meet {kamnynunpe'i} committee+event-of+meet

{kampu'a} quality-of+pleasant {kamnypu'a} committee+pleasant

{kamsei} quality-of+apart {kamnyse'i} committee+self

{kamsnera'a} quality-of+dream+pertain {kamnysnera'a} committee+dream+pertain

{kamsucta} quality-of+abstract {kamnysucta} committee+abstract

{kamtolba'i} quality-of+opposite-of-+great {canonical} form=kamtolba'i

{kamvu'e} quality-of+virtue {kamnyvu'e} committee+virtue

{kamymi'o} quality-of+famous {kamnymi'o} committee+famous

{kangau} with+do {kacygau} count+do

{kankre} with+hair {kackre} count+hair

{kanri'a} with+cause {kacri'a} count+cause

{kaspo'e} chaotic+possess {kanpo'e} with+possess

{kasta'a} chaotic+talk {kanta'a} with+talk

{kastsela'i} chaotic+sit+adjacent {kanzutla'i} with+sit+adjacent

{kasybe'i} chaotic+transfer {kanbei} with+carry

{kesmu'e} outer-space+universe {kestce} outer-space+much

{kixycu'u} cry-out+affair {kixycurnu} cry-out+worm

{klapajytce} come+surprise+much {klapailitce} come+judge+liter

{klatoi} come+try {klato'i} come+twist

{kosycre} coat+expert {kosycreka} coat+shirt

{krudakyxai} curve+knife+injure {krudakyxa'i} curve+knife+weapon

{la'arja'i} fasten+adorn {la'arjai} fasten+grasp

{lacti'a} rely+weather {lactcica} rely+deceive

{ladba'u} milk+utter {laurba'u} loud+utter

{ladbi'o} milk+become {laurbi'o} loud+become

{ladmau} milk+more {lauzma} loud+more

{ladyckasu} milk+ridicule {laurckasu} loud+ridicule

{laitce} quantity+much {lairlitce} quantity+liter

{lambalde'i} adjacent+great+tooth {lambavdegji} adjacent+future+finger

{laucru} loud+let {laurba'u} loud+utter

{lazgle} family+copulate {lazgei} family+happy

{li'ebre} precede+ready {li'erbe'a} precede+son

{lidycru} lightning+let {lidba'u} lightning+utter

{linselni'a} chain+2nd-place-of+beneath {lijyselni'a} line+2nd-place-of+beneath

{linsu'a} chain+structure {lijysu'a} line+structure

{lisfi'i} story+invent {linfriti} chain+offer

{lisra'i} story+continue {linra'i} chain+continue

{lisyga'axai} story+rod+injure {linga'axa'i} chain+rod+weapon

{lisysu'a} story+structure {linsu'a} chain+structure

{lisytadji} story+method {lintadji} chain+method

{loidre} floor+heap {lolde'u} floor+dirt

{lolnalcruboida'i} floor+other-than-+let+ball+hit {lolnalba'uboidai} floor+other-than-+utter+ball+object

{lolroiboi} floor+time+ball {lolro'iboi} floor+rock+ball

{lolzbaroiboi} floor+make+time+ball {lolzbaro'iboi} floor+make+rock+ball

{lujypludi'u} complicated+island+building {lujlu'adi'u} complicated+route+building

{lurta'a} lunar+talk {xluta'a} influence+talk

{mafce'u} magic+community {mafcre} magic+expert

{mafmu'efi'a} magic+universe+fiction {mafmu'ecfi} magic+universe+flaw

{mafmu'examfi'a} magic+universe+funny+fiction {mafmu'examcfi} magic+universe+funny+flaw

{mairpi'a} material+crust {maixra} material+picture

{malbre} derogative+ready {malbe'a} derogative+son

{malge'uro'i} derogative+dog+rock {malgletoi} derogative+copulate+try

{malkamba'i} derogative+quality-of+great {malkamnyba'i} derogative+committee+great

{matso'e} fit+soya {matryso'e} motor+soya

{maugle} more+copulate {zmagei} more+happy

{mebrai} brow+superlative {mlerai} beautiful+superlative

{menbra} mind+big {menca'a} mind+apparatus

{mi'acru} laugh+let {minba'u} add+utter

{mi'arbe'i} laugh+transfer {minbei} add+carry

{mi'arci'a} laugh+write {minci'a} add+write

{mi'ecte} command+night {mijycte} middle+night

{mi'edje} command+full-day {mijdei} middle+full-day

{midydeisa'i} command+full-day+stand {mijdeisai} middle+full-day+meal

{midydo'i} command+daytime {mijdo'i} middle+daytime

{midydorsai} command+daytime+meal {mijdorsai} middle+daytime+meal

{midyxelso} command+Greek {mijyxelso} middle+Greek

{minseldu'a} add+2nd-place-of+give {midyseldu'a} command+2nd-place-of+give

{minsku} add+express {mi'esku} command+express

{mirsa'e} reflect+stroke {mirsna} reflect+sound

{mlixra} mild+picture {mlixai} mild+injure

{molbragau} mouth+big+do {molca'agau} mouth+apparatus+do

{momri'a} -th+cause {mrori'a} dead+cause

{momrikra'u} -th+cause+trouble {mrorikra'u} dead+cause+trouble

{mordrata} Moroccan+other {mondrata} pattern+other

{morfu'i} Moroccan+copy {monfu'i} pattern+copy

{mormuprai} Moroccan+example+superlative {monmuprai} pattern+example+superlative

{morsti} Moroccan+cease {monsti} pattern+cease

{mudypeisilka} wood+think+silk {mudypexsilka} wood+paste+silk

{mujgle} universe+copulate {tcegei} much+happy

{mujyta'i} universe+tired {tceta'i} much+tired

{mulbe'i} complete+transfer {mulbei} complete+carry

{mutci'i} immaterial+interesting {tceci'i} much+interesting

{mutcla} immaterial+long {tcecla} much+long

{mutcli} immaterial+learn {tcecli} much+learn

{mutcne} immaterial+vary {tcecne} much+vary

{mutcni} immaterial+emotion {tceci'i} much+interesting

{mutfri} immaterial+experience {tcefri} much+experience

{mutselspaji} immaterial+2nd-place-of+surprise {tceselspaji} much+2nd-place-of+surprise

{mutsnosli} immaterial+slow+oscillate {tcesnosli} much+slow+oscillate

{na'azba} year+make {nabzba} bread+make

{na'ucto} number+100 {na'acto} year+100

{na'usni} number+sign {na'asni} year+sign

{nairtercfi} nation+3rd-place-of+flaw {nairterfi'a} nation+3rd-place-of+fiction

{nalgaixra} other-than-+cover+picture {nalgaixai} other-than-+cover+injure

{nalmatma'e} other-than-+fit+vehicle {nalmatryma'e} other-than-+motor+vehicle

{nalmu'e} other-than-+universe {naltce} other-than-+much

{nalselcni} other-than-+2nd-place-of+emotion {nalselci'i} other-than-+2nd-place-of+interesting

{nanka'a} south+cut {navyka'a} 1E-9+cut

{nartercni} not-true+3rd-place-of+emotion {narterci'i} not-true+3rd-place-of+interesting

{nercre} in+expert {nercreka} in+shirt

{nilgla} degree-of+hot {ni'egla} furniture+hot

{nilje'u} degree-of+true {ni'erje'u} furniture+true

{nince'u} new+community {nincre} new+expert

{ninda'iba'u} new+hit+utter {ninda'ibandu} new+hit+defend

{ninsla} new+celebrate {ninsau} new+old

{nipydaisro} sticky+object+store {nipsrisro} sticky+ribbon+store

{noicre} message+expert {notcreka} message+shirt

{nolce'u} noble+community {nolcre} noble+expert

{nolcemcmi} noble+community+member {nolcrecmi} noble+expert+member

{nolraitrubre} noble+superlative+govern+ready {nolraitrube'a} noble+superlative+govern+son

{nuncnicro} event-of+emotion+pain {nunci'icro} event-of+interesting+pain

{nungle} event-of+copulate {nungei} event-of+happy

{nungumsaldansu} event-of+jointly+slide+dance {nungumsladansu} event-of+jointly+celebrate+dance

{nunlazgle} event-of+family+copulate {nunlazgei} event-of+family+happy

{nunmoi} event-of+-th {nunmro} event-of+dead

{nunmoiri'i} event-of+-th+rite {nunmrori'i} event-of+dead+rite

{nunpa'i} event-of+love {nunpanzi} event-of+offspring

{nunpemcku} event-of+poem+book {nunpencku} event-of+meet+book

{nunpijypa'i} event-of+wise+love {nunpijypanzi} event-of+wise+offspring

{nunsaldansu} event-of+slide+dance {nunsladansu} event-of+celebrate+dance

{nuntolpa'a} event-of+opposite-of-+hope {canonical} form=nuntolpa'a

{nunxuksne} event-of+turkey+dream {nunxumsne} event-of+chemical+dream

{nunzgaju'e} event-of+observe+net {nunzgajurme} event-of+observe+germ

{nurki'a} secure+cry-out {nuzyki'a} news+cry-out

{pajgunta} surprise+attack {pairgunta} judge+attack

{pajle'a} surprise+take {pairle'a} judge+take

{pajvu'e} surprise+virtue {pairvu'e} judge+virtue

{panbauvla} odor+language+word {sanbauvla} Spanish+language+word

{pange'u} odor+dog {sange'u} Spanish+dog

{pankai} odor+quality {sankai} Spanish+quality

{patlu'i} protest+wash {paltylu'i} plate+wash

{patsku} protest+express {paltysku} plate+express

{pavde'i} 1+tooth {pavdegji} 1+finger

{pe'itse} meet+sit {peitse} think+sit

{pemdjuxa'a} poem+help+letter {penydjuxa'a} meet+help+letter

{pemfincaspemci} poem+invent+ridicule+poem {penfrinycaspemci} meet+fraction+ridicule+poem

{pemgri} poem+group {pengri} meet+group

{pencauji'i} meet+without+opine {peircauji'i} think+without+opine

{pencu'u} meet+affair {peircurnu} think+worm

{penselra'u} meet+2nd-place-of+trouble {peirselra'u} think+2nd-place-of+trouble

{pensi'u} meet+mutual {peirsnidu} think+second

{penti'i} meet+suggest {pesti'i} think+suggest

{pexselkre} paste+2nd-place-of+hair {pelselkre} yellow+2nd-place-of+hair

{pexyjdu} paste+jelly {peljdu} yellow+jelly

{pezybatci} leaf+bite {pevbatci} [figurative:]+bite

{pezyckafi} leaf+coffee {pevyckafi} [figurative:]+coffee

{pezycuvgau} leaf+pure+do {pevycuvgau} [figurative:]+pure+do

{pezyjicla} leaf+stir {pevjicla} [figurative:]+stir

{pezyzda} leaf+nest {pevzda} [figurative:]+nest

{pijvritai} wise+brave+shape {pijvritra} wise+brave+behave

{pijypenla'u} wise+meet+lake {pijypeilarcu} wise+think+art

{pijyta'u} wise+garment {pijytca} wise+city

{pilkarni} crust+journal {xrakarni} picture+journal

{plokarlycre} fold+collar+expert {plokarlycreka} fold+collar+shirt

{plufa'o} island+end {lutfa'o} route+end

{pluke'a} island+cavity {lutke'a} route+cavity

{pluku'a} island+room {lutku'a} route+room

{pormi'a} sequence+laugh {porjmina} sequence+add

{pretra} person+behave {pretai} person+shape

{rajraipre} vertical+superlative+person {ra'inraipre} continue+superlative+person

{rajyta'a} vertical+talk {ra'irta'a} continue+talk

{rakyje'a} scratch+polity {raksyje'a} Iraqi+polity

{ralta'u} principal+garment {raltca} principal+city

{ramcri} myth+lose {pamcri} love+lose

{ramnabmi} myth+problem {pamnabmi} love+problem

{rampemyzba} myth+poem+make {pampemyzba} love+poem+make

{ramta'a} myth+talk {pamta'a} love+talk

{rancimdre} soft+moist+heap {rancimde'u} soft+moist+dirt

{recyjupcarbra} meat+cook+turn+big {recyjupcarca'a} meat+cook+turn+apparatus

{refpau} recur+part {canonical} form=refpau

{relcisrampre} 2+summer+myth+person {relcinpampre} 2+sexual+love+person

{relcisygerpre} 2+summer+dog+person {relcinglepre} 2+sexual+copulate+person

{relmoicte} 2+-th+night {relmrocte} 2+dead+night

{remsi'u} human+mutual {remsnidu} human+second

{remtemzazytugjoljmi} human+time+state-abstract+agree+together-with+u {n} 

{remtra} human+behave {remtai} human+shape

{ri'irpi'a} rite+crust {ri'ixra} rite+picture

{risfoi} rice+field {risnyfoi} heart+field

{ritnacterjvi} British+number+3rd-place-of+compete {ritna'aterjvi} British+year+3rd-place-of+compete

{roispi} time+piece {rokspi} rock+piece

{rosfi'a} prose+fiction {ro'acfi} prose+flaw

{rumroi} melt+time {rumro'i} melt+rock

{ruspre} gray+person {rukpre} Russian+person

{rusta'u} gray+garment {ruktca} Russian+city

{rustau} gray+phrase-compound {rusta'u} gray+garment

{sa'akla} sing+come {tapkla} step+come

{sa'isla} stand+celebrate {saisla} meal+celebrate

{sacmi'e} honest+command {sa'urmi'e} necessary+command

{sacri'a} honest+cause {sa'unri'a} necessary+cause

{sairki'e} meal+cushion {sraki'e} support+cushion

{salcti} slide+eat {slacti} celebrate+eat

{saldei} slide+full-day {sladei} celebrate+full-day

{salgei} slide+happy {slagei} celebrate+happy

{salpemci} slide+poem {slapemci} celebrate+poem

{salsa'a} slide+sing {slasa'a} celebrate+sing

{salsilbra} slide+whistle+big {salsilca'a} slide+whistle+apparatus

{samjulta'a} computer+clock+talk {samju'eta'a} computer+net+talk

{sanbau} Spanish+language {snabau} sound+language

{sancau} Spanish+without {snacau} sound+without

{sanga'e} Spanish+sense {snaga'e} sound+sense

{sange'a} Spanish+grammar {snage'a} sound+grammar

{sanselminra} Spanish+2nd-place-of+reflect {snaselminra} sound+2nd-place-of+reflect

{sanselmirgau} Spanish+2nd-place-of+reflect+do {snaselmirgau} sound+2nd-place-of+reflect+do

{sanselmiryri'a} Spanish+2nd-place-of+reflect+cause {snaselmiryri'a} sound+2nd-place-of+reflect+cause

{sanze'a} Spanish+increase {snaze'a} sound+increase

{saptutklu} simple+territory+culture {saptciklu} simple+tool+culture

{sasysilka} grass+silk {lasysilka} plastic+silk

{sauflo} old+field {sasfoi} grass+field

{saurtu'a} old+land {sastu'a} grass+land

{sefsti} serve+cease {sfesti} surface+cease

{seikri} apart+believe {se'ikri} self+believe

{seiski} apart+describe {se'iski} self+describe

{seisku} apart+express {se'isku} self+express

{seisni} apart+sign {se'isni} self+sign

{seixru} apart+return {se'ixru} self+return

{seizga} apart+observe {se'izga} self+observe

{selfinjbu} 2nd-place-of+invent+table {selfityjbu} 2nd-place-of+offer+table

{selgleki'u} 2nd-place-of+copulate+reason {selgeiki'u} 2nd-place-of+happy+reason

{selglemu'i} 2nd-place-of+copulate+motive {selgeimu'i} 2nd-place-of+happy+motive

{selgleni'i} 2nd-place-of+copulate+necessitate {selgeini'i} 2nd-place-of+happy+necessitate

{selgleri'a} 2nd-place-of+copulate+cause {selgeiri'a} 2nd-place-of+happy+cause

{seljupna'a} 2nd-place-of+cook+year {seljupnanba} 2nd-place-of+cook+bread

{selkarcybadgacpo'aca'a} +apparatu {2nd-place-of+car+defend+gas+explode} 

{selmi'a} 2nd-place-of+laugh {seljmina} 2nd-place-of+add

{selmirsa'e} 2nd-place-of+reflect+stroke {selmirsna} 2nd-place-of+reflect+sound

{selmirsna} 2nd-place-of+reflect+sound {selmifsa'i} 2nd-place-of+code+stand

{selsanri'a} 2nd-place-of+Spanish+cause {selsnari'a} 2nd-place-of+sound+cause

{selskure'i} 2nd-place-of+express+survive {selskubre} 2nd-place-of+express+ready

{selteptce} 2nd-place-of+fear+much {selteplitce} 2nd-place-of+fear+liter

{selti'ipemci} 2nd-place-of+suggest+poem {seldjupemci} 2nd-place-of+help+poem

{selviskakri'a} 2nd-place-of+see+weep+cause {selviska'eri'a} 2nd-place-of+see+able+cause

{sepci'o} apart+young {seicni} apart+emotion

{sepcu'u} apart+affair {sezycurnu} self+worm

{sepkarni} apart+journal {sezykarni} self+journal

{sepkemxaumaupai} apart+type-of+good+more+judge {sezykemxaumaupai} self+type-of+good+more+judge

{sepxaumaupai} apart+good+more+judge {sezyxaumaupai} self+good+more+judge

{sepxu'a} apart+assert {sezyxu'a} self+assert

{sersri} stairs+ribbon {serlisri} stairs+story

{sezycu'u} self+affair {sezycurnu} self+worm

{sezymipri} self+secret {sepmipri} apart+secret

{si'arfi'i} esteem+invent {si'arfriti} esteem+offer

{sibda'i} idea+hit {sibdai} idea+object

{sicycrida} west+fairy {sincycrida} snake+fairy

{sidnoi} suggest+message {djunoi} help+message

{silbra} whistle+big {silca'a} whistle+apparatus

{simxanjai} mutual+hand+grasp {simxanja'i} mutual+hand+adorn

{sismo'i} seek+remember {stimo'i} cease+remember

{sivyci'o} private+young {sivycni} private+emotion

{skecfi} science+flaw {skefi'a} science+fiction

{skibau} describe+language {daskybau} pocket+language

{skiro'a} describe+prose {daskyro'a} pocket+prose

{skutoi} express+try {skuto'i} express+twist

{slacitcu'e} celebrate+young+school {saurcitcu'e} old+young+school

{slada'i} celebrate+hit {saurdai} old+object

{sladi'e} celebrate+radiate {saurdi'e} old+radiate

{slamidju} celebrate+middle {saurmidju} old+middle

{slasutsabdja} celebrate+fast+provide+food {saursutsabdja} old+fast+provide+food

{slefli} cell+fail {se'ufli} serve+fail

{slesa'a} cell+sing {sefsa'a} serve+sing

{smabra} quiet+big {smaca'a} quiet+apparatus

{smaci'o} quiet+young {smacni} quiet+emotion

{smacru} quiet+let {smaba'u} quiet+utter

{snacfa} sound+initiate {sa'icfa} stand+initiate

{snaji'e} sound+live {sa'irji'e} stand+live

{snecu'u} dream+affair {snecurnu} dream+worm

