{bacfendi} beyond+divide {batfendi} bite+divide
{sritigni} ribbon+perform {listigni} story+perform

{sudysau} dry+old {sudysrasu} dry+grass

{sukcniri'a} sudden+emotion+cause {sukci'iri'a} sudden+interesting+cause

{survre} relax+reclining {turvre} structure+reclining

{sutro'i} fast+rock {sutytoi} fast+try

{ta'acru} talk+let {tavba'u} talk+utter

{ta'uvro} garment+door {tcavro} city+door

{ta'uvru} garment+noise {tcavru} city+noise

{tafkarni} garment+journal {tcakarni} city+journal

{taftru} garment+govern {tcatru} city+govern

{tafxa'u} garment+dwell {tcaxa'u} city+dwell

{tagysa'e} snug+stroke {tagysna} snug+sound

{taifre} shape+fertile {trafre} behave+fertile

{tajnau} thumb+man {rairnau} superlative+man

{tanju'a} sky+sentence {taurju'a} phrase-compound+sentence

{tanselpli} sky+2nd-place-of+use {taurselpli} phrase-compound+2nd-place-of+use

{tansu'a} sky+structure {taursu'a} phrase-compound+structure

{tapri'a} step+cause {ta'inri'a} tired+cause

{tapri'agau} step+cause+do {ta'inri'agau} tired+cause+do

{tapygau} step+do {ta'irgau} tired+do

{tatmo'a} breast+pattern {tramo'a} behave+pattern

{tatxersku} breast+regret+express {traxersku} behave+regret+express

{taurfi'i} phrase-compound+invent {tafyfriti} garment+offer

{taurgunma} phrase-compound+jointly {tafygunma} garment+jointly

{taurlumpu'o} phrase-compound+wash+powder {taflumpu'o} garment+wash+powder

{tcacru} city+let {cacyba'u} custom+utter

{tcaju'o} city+know {cacyju'o} custom+know

{tcecu'a} much+choose {licycu'a} liter+choose

{tcefauclu} much+event+full {licfauclu} liter+event+full

{tcelau} much+loud {liclau} liter+loud

{tcema'u} much+mature {licma'u} liter+mature

{tceseltcila} much+2nd-place-of+detail {licyseltcila} liter+2nd-place-of+detail

{tceta'a} much+talk {licta'a} liter+talk

{tcetce} much+much {licylitce} liter+liter

{tcezau} much+approve {licyzau} liter+approve

{tciterja'i} tool+3rd-place-of+adorn {tciterjai} tool+3rd-place-of+grasp

{terbajli'a} 3rd-place-of+run+leave {terbaljyli'a} 3rd-place-of+bulb+leave

{terja'i} 3rd-place-of+adorn {terjai} 3rd-place-of+grasp

{terpi'a} 3rd-place-of+crust {terxra} 3rd-place-of+picture

{tersri} 3rd-place-of+ribbon {terlisri} 3rd-place-of+story

{tersuzrelterbri} 3rd-place-of+at-least-(some)+2+3rd-place-of+pre {dicate} 

{tertai} 3rd-place-of+shape {tertra} 3rd-place-of+behave

{ti'otra} shadow+behave {ti'ortai} shadow+shape

{tidyci'i} read+interesting {ti'icki} suggest+explain

{titna'a} sweet+year {titnanba} sweet+bread

{tivbra} television+big {tivyca'a} television+apparatus

{toirze'a} try+increase {canonical} form=toirze'a

{tolbigri'a} opposite-of-+obliged+cause {canonical} form=tolbigri'a

{tolce'u} opposite-of-+community {tolcre} opposite-of-+expert

{tolci'i} opposite-of-+interesting {canonical} form=tolci'i

{tolcre} opposite-of-+expert {canonical} form=tolcre

{toljmi} opposite-of-+understand {canonical} form=tolgu'a

{tolju'i} opposite-of-+attentive {canonical} form=toljmi

{toljuxre} opposite-of-+clumsy {canonical} form=tolju'i

{tolnanda'i} opposite-of-+south+hit {tolnavdai} opposite-of-+1E-9+object

{tolninda'i} opposite-of-+new+hit {tolnindai} opposite-of-+new+object

{tolpajvu'e} opposite-of-+surprise+virtue {canonical} form=tolpajvu'e

{tolsa'u} opposite-of-+necessary {canonical} form=tolsa'u

{tolselsmu} opposite-of-+2nd-place-of+meaning {canonical} form=tolselsmu

{tolsma} opposite-of-+quiet {canonical} form=tolsma

{tordakyxai} short+knife+injure {tordakyxa'i} short+knife+weapon

{torga'axai} short+rod+injure {torga'axa'i} short+rod+weapon

{traju'o} behave+know {tamju'o} shape+know

{tratadji} behave+method {tamtadji} shape+method

{tulga'u} swallow+high {tupyga'u} leg+high

{tulgapru} swallow+above {tupygapru} leg+above

{turske} structure+science {tutske} territory+science

{turtu'a} structure+land {tutytu'a} territory+land

{va'ucru} breathe+let {vaxyba'u} breathe+utter

{vaicru} important+let {vajba'u} important+utter

{varski} air+describe {vardaski} air+pocket

{vastau} contain+phrase-compound {vasta'u} contain+garment

{velci'i} 4th-place-of+interesting {velcki} 4th-place-of+explain

{velplu} 4th-place-of+island {velylu'a} 4th-place-of+route

{venci'i} sell+interesting {vencki} sell+explain

{vidnyveibra} video+record+big {vidnyveica'a} video+record+apparatus

{virkla} virus+come {vrikla} brave+come

{viskakri'a} see+weep+cause {viska'eri'a} see+able+cause

{visnarkakri'a} see+not-true+weep+cause {visnarka'eri'a} see+not-true+able+cause

{vresaiki'e} reclining+meal+cushion {vresraki'e} reclining+support+cushion

{vroge'u} door+dog {vrogle} door+copulate

{vrubra} noise+big {vruca'a} noise+apparatus

{xacfi'a} weapon+fiction {xarcfi} imaginary+flaw

{xacpre} weapon+person {xarpre} imaginary+person

{xadbadyxau} body+defend+good {xadbraxau} body+big+good

{xadyxra} body+picture {xadyxai} body+injure

{xagro'i} good+rock {xaurtoi} good+try

{xairgu'e} injure+country {xacygu'e} weapon+country

{xandakyxai} hand+knife+injure {xandakyxa'i} hand+knife+weapon

{xarfi'a} imaginary+fiction {xa'acfi} letter+flaw

{xarfiknei} imaginary+fiction+fond {xa'arfi'onei} letter+African+fond

{xargai} imaginary+cover {xa'argai} letter+cover

{xarvau} imaginary+contain {xa'arvau} letter+contain

{xaslycru} donkey+let {xaslyba'u} donkey+utter

{xelgu'e} 5th-place-of+country {xesygu'e} Greek+country

{xelxei} 5th-place-of+hate {xesxei} Greek+hate

{xernuncru} regret+event-of+let {xernunba'u} regret+event-of+utter

{xerselfi'i} regret+2nd-place-of+invent {xerselfriti} regret+2nd-place-of+offer

{xilkemtitna'a} wheel+type-of+sweet+year {xilkemtitnanba} wheel+type-of+sweet+bread

{xiltitna'a} wheel+sweet+year {xiltitnanba} wheel+sweet+bread

{xramu'e} picture+universe {xaitce} injure+much

{xrubei} return+carry {xrube'i} return+transfer

{xuksne} turkey+dream {xumsne} chemical+dream

{zanbre} favorable+ready {zanbe'a} favorable+son

{zantai} favorable+shape {zantra} favorable+behave

{zbatoi} make+try {zbato'i} make+twist

{zeixra} crime+picture {zerxai} crime+injure

{zgidribra} music+sad+big {zgidrica'a} music+sad+apparatus

{zilsri} nonexistent-it+ribbon {zdilisri} amusing+story

{ziryroi} purple+time {ziryro'i} purple+rock

{zmaslarai} more+celebrate+superlative {zmasaurai} more+old+superlative

{zmitai} automatic+shape {zmitra} automatic+behave

{zumtu'a} activity-of+land {zmutu'a} maize+land

{zunsnale'u} interfere+sound+letteral {zunsa'ile'u} interfere+stand+letteral
